input,pred_missing_id (0_indexed),generated_sentence,pred_story,gt_missing_id (0_indexed),gt_sentence,gt_story,questionid,A,B,GT,Generated,amt_answers
"on her way home, she stopped to get a bottle of cough syrup. mildred found the medicine and some other stuff she didn't need. she paid for her items and walked out of the store. when she got in her car,she saw she forgot to pay for the medicine.",0,mary was going to the grocery store.,"mary was going to the grocery store. on her way home, she stopped to get a bottle of cough syrup. mildred found the medicine and some other stuff she didn't need. she paid for her items and walked out of the store. when she got in her car,she saw she forgot to pay for the medicine.",0,Mildred had worked all day as a nurse and was very tired.,"mildred had worked all day as a nurse and was very tired. on her way home, she stopped to get a bottle of cough syrup. mildred found the medicine and some other stuff she didn't need. she paid for her items and walked out of the store. when she got in her car,she saw she forgot to pay for the medicine.",67583644-0c85-4314-b388-6d84ab8fecb8,"mildred had worked all day as a nurse and was very tired. on her way home, she stopped to get a bottle of cough syrup. mildred found the medicine and some other stuff she didn't need. she paid for her items and walked out of the store. when she got in her car,she saw she forgot to pay for the medicine.","mary was going to the grocery store. on her way home, she stopped to get a bottle of cough syrup. mildred found the medicine and some other stuff she didn't need. she paid for her items and walked out of the store. when she got in her car,she saw she forgot to pay for the medicine.",A,B,both both B neither both
the bus left at nine in the morning. it took only two and a half hours to get to cleveland. the day was beautiful for a walk through the historic cemetery. she enjoyed the experience and took the afternoon bus home.,0,amy and her friend beth were going to the mall.,amy and her friend beth were going to the mall. the bus left at nine in the morning. it took only two and a half hours to get to cleveland. the day was beautiful for a walk through the historic cemetery. she enjoyed the experience and took the afternoon bus home.,2,She got a local bus to the cemetery.,the bus left at nine in the morning. it took only two and a half hours to get to cleveland. she got a local bus to the cemetery. the day was beautiful for a walk through the historic cemetery. she enjoyed the experience and took the afternoon bus home.,b980b84e-e065-41da-94c3-5c0f8353b586,amy and her friend beth were going to the mall. the bus left at nine in the morning. it took only two and a half hours to get to cleveland. the day was beautiful for a walk through the historic cemetery. she enjoyed the experience and took the afternoon bus home.,the bus left at nine in the morning. it took only two and a half hours to get to cleveland. she got a local bus to the cemetery. the day was beautiful for a walk through the historic cemetery. she enjoyed the experience and took the afternoon bus home.,B,A,A B A B B
"we went to hawaii on our honeymoon. although it was a long flight, it was tolerable by flying first class. everyone was so friendly and greeted you with leias. the weather was amazing, and it was a once in lifetime experience.",0,the flight was luxurious and the captain was very nice.,"the flight was luxurious and the captain was very nice. we went to hawaii on our honeymoon. although it was a long flight, it was tolerable by flying first class. everyone was so friendly and greeted you with leias. the weather was amazing, and it was a once in lifetime experience.",4,"While the wedding was great, the honeymoon was even better.","we went to hawaii on our honeymoon. although it was a long flight, it was tolerable by flying first class. everyone was so friendly and greeted you with leias. the weather was amazing, and it was a once in lifetime experience. while the wedding was great, the honeymoon was even better.",83e1b384-9d32-4977-bf7e-2fb15906ddcd,"the flight was luxurious and the captain was very nice. we went to hawaii on our honeymoon. although it was a long flight, it was tolerable by flying first class. everyone was so friendly and greeted you with leias. the weather was amazing, and it was a once in lifetime experience.","we went to hawaii on our honeymoon. although it was a long flight, it was tolerable by flying first class. everyone was so friendly and greeted you with leias. the weather was amazing, and it was a once in lifetime experience. while the wedding was great, the honeymoon was even better.",B,A,B B B B B
"jack loved gambling. jack would go to the racetrack and bet all he could on horse racing. jack would usually lose, but couldn't help himself. however, the money was immediately lost the next day.",4,jack was so upset that he threw his bet.,"jack loved gambling. jack would go to the racetrack and bet all he could on horse racing. jack would usually lose, but couldn't help himself. however, the money was immediately lost the next day. jack was so upset that he threw his bet.",3,"One day, Jack won over three thousand dollars!","jack loved gambling. jack would go to the racetrack and bet all he could on horse racing. jack would usually lose, but couldn't help himself. one day, jack won over three thousand dollars! however, the money was immediately lost the next day.",bda5acfb-a274-4f49-aca5-77c5350a28c6,"jack loved gambling. jack would go to the racetrack and bet all he could on horse racing. jack would usually lose, but couldn't help himself. one day, jack won over three thousand dollars! however, the money was immediately lost the next day.","jack loved gambling. jack would go to the racetrack and bet all he could on horse racing. jack would usually lose, but couldn't help himself. however, the money was immediately lost the next day. jack was so upset that he threw his bet.",A,B,both A A A A
we were up in my sister-in-law's apartment this tuesday. her unit was undergoing an inspection. we went to make coffee and opened her kitchen drawer. it was filled with tarnished silverware.,4,she said she was not going to have guests over.,we were up in my sister-in-law's apartment this tuesday. her unit was undergoing an inspection. we went to make coffee and opened her kitchen drawer. it was filled with tarnished silverware. she said she was not going to have guests over.,4,I told her she should sell it on eBay.,we were up in my sister-in-law's apartment this tuesday. her unit was undergoing an inspection. we went to make coffee and opened her kitchen drawer. it was filled with tarnished silverware. i told her she should sell it on ebay.,5294dc84-9678-47b6-b319-4cbd9fa33dd0,we were up in my sister-in-law's apartment this tuesday. her unit was undergoing an inspection. we went to make coffee and opened her kitchen drawer. it was filled with tarnished silverware. i told her she should sell it on ebay.,we were up in my sister-in-law's apartment this tuesday. her unit was undergoing an inspection. we went to make coffee and opened her kitchen drawer. it was filled with tarnished silverware. she said she was not going to have guests over.,A,B,A A both B A
i went to a new year's party in south africa with many youth. one girl i was talking to was thinking very seriously about life. we ended up talking about her hopes and dreams. unfortunately i never saw her again before leaving.,0,i was sitting at the bus stop waiting to get home.,i was sitting at the bus stop waiting to get home. i went to a new year's party in south africa with many youth. one girl i was talking to was thinking very seriously about life. we ended up talking about her hopes and dreams. unfortunately i never saw her again before leaving.,3,We made plans to hang out again.,i went to a new year's party in south africa with many youth. one girl i was talking to was thinking very seriously about life. we ended up talking about her hopes and dreams. we made plans to hang out again. unfortunately i never saw her again before leaving.,958b3300-4699-4484-be37-4cbdd6574cc4,i went to a new year's party in south africa with many youth. one girl i was talking to was thinking very seriously about life. we ended up talking about her hopes and dreams. we made plans to hang out again. unfortunately i never saw her again before leaving.,i was sitting at the bus stop waiting to get home. i went to a new year's party in south africa with many youth. one girl i was talking to was thinking very seriously about life. we ended up talking about her hopes and dreams. unfortunately i never saw her again before leaving.,A,B,B A both A A
my girlfriend got tickets to the packers-bears game on thanksgiving. we drove to green bay and ate at brett favre's steakhouse. the weather was terrible but the crowd at the game was electric. it was great when he gave his speech at halftime.,1,he was so excited to see the game!,my girlfriend got tickets to the packers-bears game on thanksgiving. he was so excited to see the game! we drove to green bay and ate at brett favre's steakhouse. the weather was terrible but the crowd at the game was electric. it was great when he gave his speech at halftime.,1,The reason was that we both wanted to see Brett Favre one more time.,my girlfriend got tickets to the packers-bears game on thanksgiving. the reason was that we both wanted to see brett favre one more time. we drove to green bay and ate at brett favre's steakhouse. the weather was terrible but the crowd at the game was electric. it was great when he gave his speech at halftime.,325d8b54-467f-4d44-a50f-74fa83dcc0a8,my girlfriend got tickets to the packers-bears game on thanksgiving. the reason was that we both wanted to see brett favre one more time. we drove to green bay and ate at brett favre's steakhouse. the weather was terrible but the crowd at the game was electric. it was great when he gave his speech at halftime.,my girlfriend got tickets to the packers-bears game on thanksgiving. he was so excited to see the game! we drove to green bay and ate at brett favre's steakhouse. the weather was terrible but the crowd at the game was electric. it was great when he gave his speech at halftime.,A,B,A A A A both
i used to play racketball with my friend at school. man it was tiring! you would chase the ball all around the court. it probably was one of the best workouts i've ever gotten.,3,i was able to get the ball back.,i used to play racketball with my friend at school. man it was tiring! you would chase the ball all around the court. i was able to get the ball back. it probably was one of the best workouts i've ever gotten.,1,We would rent out a court and meet up to play.,i used to play racketball with my friend at school. we would rent out a court and meet up to play. man it was tiring! you would chase the ball all around the court. it probably was one of the best workouts i've ever gotten.,a2ed8934-315f-4082-bcad-be937911ae9b,i used to play racketball with my friend at school. man it was tiring! you would chase the ball all around the court. i was able to get the ball back. it probably was one of the best workouts i've ever gotten.,i used to play racketball with my friend at school. we would rent out a court and meet up to play. man it was tiring! you would chase the ball all around the court. it probably was one of the best workouts i've ever gotten.,B,A,both both both B B
sparky loved pokemon cards. his dad would take him every weekend to buy some. sparky took them to school where they were stolen. sparky was very sad.,2,he was very sad.,sparky loved pokemon cards. his dad would take him every weekend to buy some. he was very sad. sparky took them to school where they were stolen. sparky was very sad.,4,Sparky leaves his Pokemon cards at home now.,sparky loved pokemon cards. his dad would take him every weekend to buy some. sparky took them to school where they were stolen. sparky was very sad. sparky leaves his pokemon cards at home now.,1b2cfe35-80a1-4113-a47c-559b1ca514a6,sparky loved pokemon cards. his dad would take him every weekend to buy some. sparky took them to school where they were stolen. sparky was very sad. sparky leaves his pokemon cards at home now.,sparky loved pokemon cards. his dad would take him every weekend to buy some. he was very sad. sparky took them to school where they were stolen. sparky was very sad.,A,B,both A A A A
"they stood in line and bought their papers. they sat down and begin to play. after a couple games of not winning, the started to lose hope. then they won the last game and went home happy!",0,the kids were excited to play a game of chess.,"the kids were excited to play a game of chess. they stood in line and bought their papers. they sat down and begin to play. after a couple games of not winning, the started to lose hope. then they won the last game and went home happy!",0,Jenn and her Grandma went to bingo one day.,"jenn and her grandma went to bingo one day. they stood in line and bought their papers. they sat down and begin to play. after a couple games of not winning, the started to lose hope. then they won the last game and went home happy!",ffe69c9d-75b7-4d23-a083-81e857a489fb,"jenn and her grandma went to bingo one day. they stood in line and bought their papers. they sat down and begin to play. after a couple games of not winning, the started to lose hope. then they won the last game and went home happy!","the kids were excited to play a game of chess. they stood in line and bought their papers. they sat down and begin to play. after a couple games of not winning, the started to lose hope. then they won the last game and went home happy!",A,B,B A A B A
john took the day off of work today. he wanted to meet up with some old friends. he said they had a great time catching up. they went to see a ballgame.,4,he was so happy when he saw his friend.,john took the day off of work today. he wanted to meet up with some old friends. he said they had a great time catching up. they went to see a ballgame. he was so happy when he saw his friend.,4,They ended the day with dinner.,john took the day off of work today. he wanted to meet up with some old friends. he said they had a great time catching up. they went to see a ballgame. they ended the day with dinner.,e5aaa404-fd14-45db-b2cd-2a72598b29ef,john took the day off of work today. he wanted to meet up with some old friends. he said they had a great time catching up. they went to see a ballgame. he was so happy when he saw his friend.,john took the day off of work today. he wanted to meet up with some old friends. he said they had a great time catching up. they went to see a ballgame. they ended the day with dinner.,B,A,both B B B B
"she wanted to become a writer. she sat in her room, producing short stories galore. she wanted to show them to her parents. one day, she wrapped them and gave them to her parents.",0,the little girl was happy.,"the little girl was happy. she wanted to become a writer. she sat in her room, producing short stories galore. she wanted to show them to her parents. one day, she wrapped them and gave them to her parents.",4,"They laughed, cried, and hugged her after reading them.","she wanted to become a writer. she sat in her room, producing short stories galore. she wanted to show them to her parents. one day, she wrapped them and gave them to her parents. they laughed, cried, and hugged her after reading them.",e368bb10-5409-4f51-bdb1-d3a1bd4ded4f,"she wanted to become a writer. she sat in her room, producing short stories galore. she wanted to show them to her parents. one day, she wrapped them and gave them to her parents. they laughed, cried, and hugged her after reading them.","the little girl was happy. she wanted to become a writer. she sat in her room, producing short stories galore. she wanted to show them to her parents. one day, she wrapped them and gave them to her parents.",A,B,both A both A A
"so, i decided to go back to school for massage therapy. i got great grades in school, and excelled in my studies. toward the end of my schooling, my school shutdown. i was devastated, but decided to do massage therapy on my own.",2,i was so depressed that i didn't want to go back to school.,"so, i decided to go back to school for massage therapy. i got great grades in school, and excelled in my studies. i was so depressed that i didn't want to go back to school. toward the end of my schooling, my school shutdown. i was devastated, but decided to do massage therapy on my own.",0,I was unsure of where to go with my career.,"i was unsure of where to go with my career. so, i decided to go back to school for massage therapy. i got great grades in school, and excelled in my studies. toward the end of my schooling, my school shutdown. i was devastated, but decided to do massage therapy on my own.",c4fdf2c0-b182-4c99-92e8-972e7e4e1500,"i was unsure of where to go with my career. so, i decided to go back to school for massage therapy. i got great grades in school, and excelled in my studies. toward the end of my schooling, my school shutdown. i was devastated, but decided to do massage therapy on my own.","so, i decided to go back to school for massage therapy. i got great grades in school, and excelled in my studies. i was so depressed that i didn't want to go back to school. toward the end of my schooling, my school shutdown. i was devastated, but decided to do massage therapy on my own.",A,B,neither A A A A
"kira didn't know what to make for dinner. she searched the kitchen cabinets and refrigerator, taking inventory. kira's sister suggested they order a pizza instead. kira smiled, realizing they had pizza ingredients in the house.",2,she decided to make a pizza.,"kira didn't know what to make for dinner. she searched the kitchen cabinets and refrigerator, taking inventory. she decided to make a pizza. kira's sister suggested they order a pizza instead. kira smiled, realizing they had pizza ingredients in the house.",4,Kira and her sister made pizzas for dinner.,"kira didn't know what to make for dinner. she searched the kitchen cabinets and refrigerator, taking inventory. kira's sister suggested they order a pizza instead. kira smiled, realizing they had pizza ingredients in the house. kira and her sister made pizzas for dinner.",3148a655-e86f-4cf8-b096-005391ffb6c5,"kira didn't know what to make for dinner. she searched the kitchen cabinets and refrigerator, taking inventory. kira's sister suggested they order a pizza instead. kira smiled, realizing they had pizza ingredients in the house. kira and her sister made pizzas for dinner.","kira didn't know what to make for dinner. she searched the kitchen cabinets and refrigerator, taking inventory. she decided to make a pizza. kira's sister suggested they order a pizza instead. kira smiled, realizing they had pizza ingredients in the house.",A,B,both A both both A
"nori and nala were twin sisters. eventually, they started dancing at a strip club. they got into a fight on the first night. the next day, they quit and went back to the drawing board.",3,they were both very upset.,"nori and nala were twin sisters. eventually, they started dancing at a strip club. they got into a fight on the first night. they were both very upset. the next day, they quit and went back to the drawing board.",1,They couldn't find jobs and were unemployed.,"nori and nala were twin sisters. they couldn't find jobs and were unemployed. eventually, they started dancing at a strip club. they got into a fight on the first night. the next day, they quit and went back to the drawing board.",e0a93f5a-0803-42e8-bb38-dd19a414cb4a,"nori and nala were twin sisters. they couldn't find jobs and were unemployed. eventually, they started dancing at a strip club. they got into a fight on the first night. the next day, they quit and went back to the drawing board.","nori and nala were twin sisters. eventually, they started dancing at a strip club. they got into a fight on the first night. they were both very upset. the next day, they quit and went back to the drawing board.",A,B,both A A B B
timothy loved to dance. timothy didn't have much confidence in himself. it took everything he had to dance with all of his self doubt. everyone loved his dancing and he won the contest.,1,he decided to take dance lessons.,timothy loved to dance. he decided to take dance lessons. timothy didn't have much confidence in himself. it took everything he had to dance with all of his self doubt. everyone loved his dancing and he won the contest.,1,There was a dance contest that was coming up soon.,timothy loved to dance. there was a dance contest that was coming up soon. timothy didn't have much confidence in himself. it took everything he had to dance with all of his self doubt. everyone loved his dancing and he won the contest.,5cd6d9ce-ff1b-4ca0-8536-ce1cf03249b4,timothy loved to dance. he decided to take dance lessons. timothy didn't have much confidence in himself. it took everything he had to dance with all of his self doubt. everyone loved his dancing and he won the contest.,timothy loved to dance. there was a dance contest that was coming up soon. timothy didn't have much confidence in himself. it took everything he had to dance with all of his self doubt. everyone loved his dancing and he won the contest.,B,A,B B B B B
"she hurried to the hospital. they set her up on medicine and encouraged her. she struggled through the birth of her baby. and after sixteen hours, tina became a mommy!",0,anna was having a hard time with her daughter.,"anna was having a hard time with her daughter. she hurried to the hospital. they set her up on medicine and encouraged her. she struggled through the birth of her baby. and after sixteen hours, tina became a mommy!",0,Tina's water broke one night.,"tina's water broke one night. she hurried to the hospital. they set her up on medicine and encouraged her. she struggled through the birth of her baby. and after sixteen hours, tina became a mommy!",f2af7a7c-26ad-479b-ab04-c5a98b566ed3,"tina's water broke one night. she hurried to the hospital. they set her up on medicine and encouraged her. she struggled through the birth of her baby. and after sixteen hours, tina became a mommy!","anna was having a hard time with her daughter. she hurried to the hospital. they set her up on medicine and encouraged her. she struggled through the birth of her baby. and after sixteen hours, tina became a mommy!",A,B,A B A A A
my friend bought a new motorcycle. he hit a bump that sent him flying. my friend fell on the ground with the motorcycle. he got back up like nothing ever happened.,1,he was riding it around town.,my friend bought a new motorcycle. he was riding it around town. he hit a bump that sent him flying. my friend fell on the ground with the motorcycle. he got back up like nothing ever happened.,1,He took it down a steep hill.,my friend bought a new motorcycle. he took it down a steep hill. he hit a bump that sent him flying. my friend fell on the ground with the motorcycle. he got back up like nothing ever happened.,403179e4-0148-4a3d-b468-b2291870ac8e,my friend bought a new motorcycle. he was riding it around town. he hit a bump that sent him flying. my friend fell on the ground with the motorcycle. he got back up like nothing ever happened.,my friend bought a new motorcycle. he took it down a steep hill. he hit a bump that sent him flying. my friend fell on the ground with the motorcycle. he got back up like nothing ever happened.,B,A,both both both both neither
kim's car key snapped off in her ignition. finally she called the auto club for help. they came and removed the broken key. then they made kim a new key!,1,she was able to get it fixed.,kim's car key snapped off in her ignition. she was able to get it fixed. finally she called the auto club for help. they came and removed the broken key. then they made kim a new key!,1,She didn't know what to do!,kim's car key snapped off in her ignition. she didn't know what to do! finally she called the auto club for help. they came and removed the broken key. then they made kim a new key!,db097896-cd44-42a1-8982-0387b569de60,kim's car key snapped off in her ignition. she was able to get it fixed. finally she called the auto club for help. they came and removed the broken key. then they made kim a new key!,kim's car key snapped off in her ignition. she didn't know what to do! finally she called the auto club for help. they came and removed the broken key. then they made kim a new key!,B,A,B B B B B
i'm getting married this summer. i have already gotten another job to help pay for everything. luckily my parents have agreed to help me pay for it. i'm very lucky to have such generous parents.,1,i have been saving up for a big wedding.,i'm getting married this summer. i have been saving up for a big wedding. i have already gotten another job to help pay for everything. luckily my parents have agreed to help me pay for it. i'm very lucky to have such generous parents.,1,I didn't understand how much money getting married required.,i'm getting married this summer. i didn't understand how much money getting married required. i have already gotten another job to help pay for everything. luckily my parents have agreed to help me pay for it. i'm very lucky to have such generous parents.,bc865335-9f7f-4cfc-9204-aa6bcb038cf8,i'm getting married this summer. i didn't understand how much money getting married required. i have already gotten another job to help pay for everything. luckily my parents have agreed to help me pay for it. i'm very lucky to have such generous parents.,i'm getting married this summer. i have been saving up for a big wedding. i have already gotten another job to help pay for everything. luckily my parents have agreed to help me pay for it. i'm very lucky to have such generous parents.,A,B,A both A both B
